TransactionID,Date,CustomerID,ProductID,Branch,Quantity,UnitPrice,SalesAmount,Rating,ReviewCategory
TXN000028,2023-12-10,CUST03050,PRD0557,Dammam,4,470.28,1881.12,4,Good
TXN000029,2024-02-23,CUST04299,PRD0101,Tabuk,4,274.51,1098.04,3,Excellent
TXN000030,2020-11-10,CUST02365,PRD0747,Khobar,3,112.62,337.86,1,Average
TXN000031,2022-05-02,CUST03476,PRD0401,Makkah,7,92.07,644.49,2,Excellent
TXN000032,2022-04-30,CUST03745,PRD0697,Khobar,2,40.45,80.9,1,Average
TXN000033,2020-12-14,CUST01521,PRD0642,Madinah,11,55.62,611.82,5,Good
TXN000034,2020-04-06,CUST03453,PRD0616,Makkah,7,495.22,3466.54,4,Average
TXN000035,2024-05-16,CUST03090,PRD0028,Abha,5,197.21,986.05,5,Poor
TXN000036,2025-08-26,CUST01774,PRD0523,Khobar,8,463.85,3710.8,5,Good
TXN000037,2019-01-13,CUST03985,PRD0029,Hail,5,272.94,1364.7,2,Poor
TXN000038,2021-07-18,CUST04724,PRD0707,Jeddah Central,2,383.93,767.86,2,Excellent
TXN000039,2020-11-17,CUST04902,PRD0495,Makkah,1,194.73,194.73,3,Excellent
TXN000040,2019-06-28,CUST01190,PRD0271,Hail,1,191.67,191.67,1,Excellent
TXN000041,2025-02-03,CUST01286,PRD0463,Madinah,3,68.5,205.5,4,Excellent
TXN000042,2024-10-25,CUST00936,PRD0198,Tabuk,1,48.32,48.32,5,Poor
TXN000043,2019-08-07,CUST04308,PRD0492,Hail,6,340.19,2041.14,5,Average
TXN000044,2025-06-19,CUST03677,PRD0489,Hail,5,292.91,1464.55,5,Excellent
TXN000045,2022-07-17,CUST01018,PRD0166,Riyadh South,3,57.7,173.1,3,Poor
TXN000046,2022-10-07,CUST00778,PRD0428,Abha,6,260.81,1564.86,5,Excellent
TXN000047,2019-02-08,CUST02568,PRD0444,Khobar,2,248.8,497.6,2,Excellent
TXN000048,2023-07-29,CUST03777,PRD0205,Dammam,2,88.24,176.48,3,Poor
TXN000049,2020-12-30,CUST04889,PRD0763,Madinah,7,56.16,393.12,5,Poor
TXN000050,2021-06-11,CUST00727,PRD0500,Hail,9,256.02,2304.18,2,Excellent
TXN000051,2023-05-25,CUST00933,PRD0544,Makkah,3,350.36,1051.08,1,Poor
TXN000052,2019-11-11,CUST01407,PRD0437,Riyadh South,8,177.29,1418.32,4,Good
TXN000053,2021-03-07,CUST01984,PRD0432,Riyadh South,2,402.15,804.3,4,Average
TXN000054,2022-01-01,CUST00372,PRD0593,Madinah,1,378.38,378.38,5,Excellent
TXN000055,2021-09-20,CUST02927,PRD0488,Madinah,11,85.85,944.35,3,Average
TXN000056,2024-08-24,CUST01921,PRD0231,Hail,6,348.95,2093.7,5,Excellent
TXN000057,2020-09-19,CUST01785,PRD0494,Hail,5,499.6,2498,2,Good
TXN000058,2022-08-12,CUST02231,PRD0796,Riyadh South,6,57.39,344.34,5,Good
TXN000059,2022-08-14,CUST02082,PRD0572,Tabuk,2,316.53,633.06,4,Good
TXN000060,2020-03-11,CUST03325,PRD0721,Riyadh North,3,354.8,1064.4,1,Poor
TXN000061,2021-08-13,CUST02116,PRD0586,Riyadh South,10,134.25,1342.5,2,Average
TXN000062,2022-07-27,CUST01783,PRD0240,Riyadh North,2,160.41,320.82,5,Good
TXN000063,2019-02-05,CUST04271,PRD0791,Dammam,8,300.92,2407.36,5,Excellent
TXN000064,2025-08-01,CUST02969,PRD0439,Hail,12,332.49,3989.88,5,Poor
TXN000065,2020-07-09,CUST00264,PRD0645,Abha,5,457.76,2288.8,5,Good
TXN000066,2020-03-16,CUST01542,PRD0472,Dammam,8,319.85,2558.8,1,Poor
TXN000067,2023-06-29,CUST01690,PRD0521,Makkah,2,37.94,75.88,5,Poor
TXN000068,2021-02-25,CUST01115,PRD0440,Riyadh South,8,19.25,154,4,Good
TXN000069,2022-04-18,CUST02504,PRD0012,Jeddah Central,12,460.34,5524.08,2,Good
TXN000070,2022-01-12,CUST01881,PRD0097,Riyadh North,12,310.28,3723.36,4,Good
TXN000071,2021-01-27,CUST02528,PRD0752,Riyadh North,4,219.77,879.08,1,Excellent
TXN000072,2022-06-23,CUST04529,PRD0298,Madinah,5,88.26,441.3,2,Excellent
TXN000073,2020-10-06,CUST03014,PRD0710,Riyadh North,5,126.1,630.5,5,Average
TXN000074,2023-12-05,CUST00745,PRD0422,Riyadh South,6,352.27,2113.62,5,Poor
TXN000075,2019-09-24,CUST00067,PRD0345,Hail,7,494.9,3464.3,5,Average
TXN000076,2020-02-27,CUST04417,PRD0317,Hail,8,179.02,1432.16,1,Good
TXN000077,2024-03-29,CUST01100,PRD0040,Madinah,6,158.97,953.82,3,Excellent
TXN000078,2025-12-29,CUST01468,PRD0058,Khobar,9,455.1,4095.9,1,Excellent
TXN000079,2019-04-22,CUST02618,PRD0659,Hail,4,162.56,650.24,3,Good
TXN000080,2025-06-25,CUST01430,PRD0608,Makkah,3,22.44,67.32,4,Poor
TXN000081,2023-04-13,CUST03469,PRD0444,Hail,10,333.66,3336.6,2,Good
TXN000082,2025-05-23,CUST03144,PRD0356,Riyadh South,4,119.7,478.8,5,Average
TXN000083,2020-01-16,CUST01572,PRD0067,Hail,11,412.25,4534.75,1,Good
TXN000084,2022-06-05,CUST01219,PRD0130,Madinah,5,328.58,1642.9,1,Poor
TXN000085,2023-10-06,CUST01539,PRD0690,Madinah,3,258.63,775.89,4,Good
TXN000086,2021-04-05,CUST04953,PRD0308,Makkah,11,261.11,2872.21,2,Average
TXN000087,2021-05-04,CUST04316,PRD0484,Khobar,6,55.75,334.5,4,Average
TXN000088,2019-06-02,CUST02966,PRD0520,Madinah,7,389.14,2723.98,2,Average
TXN000089,2021-10-17,CUST01095,PRD0745,Abha,9,92.41,831.69,3,Average
TXN000090,2019-03-27,CUST00178,PRD0461,Hail,5,106.08,530.4,3,Good
TXN000091,2025-04-10,CUST03058,PRD0649,Hail,9,404.45,3640.05,3,Poor
TXN000092,2019-02-03,CUST04957,PRD0255,Khobar,10,216.33,2163.3,3,Average
TXN000093,2021-05-08,CUST03853,PRD0331,Khobar,10,52.58,525.8,3,Excellent
TXN000094,2021-11-25,CUST04285,PRD0469,Makkah,2,402.27,804.54,1,Excellent
TXN000095,2025-08-21,CUST04510,PRD0603,Abha,6,140.61,843.66,4,Good
TXN000096,2022-01-30,CUST03293,PRD0292,Khobar,12,366.21,4394.52,5,Poor
TXN000097,2023-10-27,CUST04747,PRD0461,Madinah,10,271.75,2717.5,4,Excellent
TXN000098,2023-08-01,CUST00183,PRD0718,Khobar,2,231.5,463,5,Excellent
TXN000099,2019-12-15,CUST00673,PRD0268,Riyadh South,10,222.96,2229.6,1,Good
TXN000100,2024-11-14,CUST03671,PRD0267,Riyadh South,12,466.51,5598.12,3,Poor
TXN000101,2024-05-21,CUST02669,PRD0368,Riyadh North,7,218.91,1532.37,3,Excellent
TXN000102,2025-02-01,CUST00164,PRD0746,Riyadh South,9,214.08,1926.72,4,Poor
TXN000103,2022-04-13,CUST01481,PRD0268,Makkah,10,443.98,4439.8,3,Good
TXN000104,2023-02-16,CUST04715,PRD0626,Abha,11,491.77,5409.47,3,Excellent
TXN000105,2022-02-13,CUST03351,PRD0332,Khobar,1,324.63,324.63,5,Good
TXN000106,2024-06-07,CUST02166,PRD0352,Jeddah Central,5,27.55,137.75,5,Poor
TXN000107,2019-10-23,CUST01375,PRD0483,Dammam,12,270.84,3250.08,4,Excellent
TXN000108,2022-05-16,CUST01972,PRD0035,Abha,3,168.57,505.71,3,Poor
TXN000109,2023-10-19,CUST02465,PRD0763,Abha,3,379.01,1137.03,1,Poor
TXN000110,2021-10-18,CUST02003,PRD0530,Khobar,11,147.32,1620.52,5,Excellent
TXN000111,2023-04-28,CUST01809,PRD0201,Riyadh North,6,258.51,1551.06,1,Excellent
TXN000112,2019-11-22,CUST04736,PRD0783,Khobar,3,222.44,667.32,5,Average
TXN000113,2019-12-11,CUST02409,PRD0626,Abha,11,108.16,1189.76,3,Good
TXN000114,2024-06-28,CUST03890,PRD0471,Riyadh North,6,264.47,1586.82,2,Poor
TXN000115,2022-09-03,CUST01592,PRD0425,Khobar,3,30.54,91.62,2,Average
TXN000116,2022-05-30,CUST04876,PRD0697,Madinah,5,109.59,547.95,4,Poor
TXN000117,2021-09-28,CUST01234,PRD0239,Makkah,2,270.92,541.84,2,Average
TXN000118,2023-12-07,CUST00392,PRD0696,Tabuk,7,48.94,342.58,2,Excellent
TXN000119,2024-01-03,CUST03777,PRD0309,Tabuk,5,433.86,2169.3,4,Good
TXN000120,2023-08-21,CUST03215,PRD0140,Tabuk,7,126.28,883.96,5,Average
TXN000121,2019-06-18,CUST04541,PRD0522,Hail,10,451.36,4513.6,4,Poor
TXN000122,2021-12-21,CUST02350,PRD0508,Makkah,6,308.57,1851.42,3,Average
TXN000123,2020-07-20,CUST03655,PRD0602,Tabuk,6,424.98,2549.88,3,Excellent
TXN000124,2021-09-10,CUST04568,PRD0488,Tabuk,7,235.54,1648.78,3,Excellent
TXN000125,2021-12-22,CUST03933,PRD0154,Khobar,1,479.36,479.36,4,Average
TXN000126,2019-11-26,CUST01637,PRD0316,Madinah,10,225.35,2253.5,1,Excellent
TXN000127,2022-07-22,CUST01704,PRD0773,Riyadh North,8,384.43,3075.44,5,Excellent
TXN000128,2019-05-13,CUST02276,PRD0659,Riyadh North,12,28.02,336.24,4,Average
TXN000129,2023-06-20,CUST01984,PRD0366,Madinah,12,255.59,3067.08,3,Average
TXN000130,2021-09-27,CUST03463,PRD0538,Dammam,6,329.07,1974.42,2,Average
TXN000131,2021-01-08,CUST03372,PRD0206,Khobar,11,69.42,763.62,1,Excellent
TXN000132,2019-05-31,CUST04675,PRD0267,Riyadh South,8,19.31,154.48,1,Excellent
TXN000133,2021-10-02,CUST02963,PRD0316,Khobar,10,494.85,4948.5,1,Excellent
TXN000134,2025-09-23,CUST04847,PRD0706,Khobar,10,253.42,2534.2,3,Excellent
TXN000135,2019-12-22,CUST02608,PRD0561,Abha,2,343.01,686.02,2,Poor
TXN000136,2022-02-07,CUST02511,PRD0412,Tabuk,7,42.87,300.09,4,Poor
TXN000137,2020-01-16,CUST03346,PRD0523,Abha,11,383.24,4215.64,4,Excellent
TXN000138,2022-02-23,CUST03372,PRD0738,Khobar,8,367.87,2942.96,4,Good
TXN000139,2025-11-20,CUST01091,PRD0017,Dammam,12,189.57,2274.84,4,Average
TXN000140,2025-09-25,CUST00556,PRD0601,Madinah,6,13.3,79.8,2,Good
TXN000141,2021-08-06,CUST01524,PRD0004,Tabuk,12,94.34,1132.08,4,Average
TXN000142,2019-03-13,CUST01983,PRD0324,Hail,5,419.9,2099.5,5,Poor
TXN000143,2020-12-16,CUST02905,PRD0160,Riyadh South,2,130.42,260.84,2,Excellent
TXN000144,2024-12-18,CUST03970,PRD0398,Madinah,7,20.95,146.65,4,Good
TXN000145,2021-05-23,CUST02076,PRD0566,Tabuk,10,419.81,4198.1,5,Average
TXN000146,2020-11-17,CUST02478,PRD0268,Jeddah Central,8,153.12,1224.96,1,Good
TXN000147,2022-09-02,CUST00137,PRD0621,Jeddah Central,5,144.6,723,2,Poor
TXN000148,2021-07-13,CUST03329,PRD0366,Khobar,2,270.95,541.9,3,Poor
TXN000149,2024-05-16,CUST01668,PRD0310,Dammam,2,105.87,211.74,1,Good
TXN000150,2019-02-05,CUST01603,PRD0145,Madinah,6,259.49,1556.94,4,Average
TXN000151,2024-12-29,CUST04320,PRD0081,Abha,6,108.97,653.82,3,Good
TXN000152,2020-05-02,CUST02816,PRD0501,Hail,9,303.15,2728.35,5,Excellent
TXN000153,2025-06-22,CUST00623,PRD0536,Jeddah Central,5,354.41,1772.05,5,Poor
TXN000154,2022-09-14,CUST00907,PRD0370,Khobar,9,420.55,3784.95,4,Average
TXN000155,2025-12-17,CUST00796,PRD0183,Hail,4,271.33,1085.32,2,Average
TXN000156,2024-12-21,CUST00337,PRD0781,Riyadh North,10,50.39,503.9,2,Excellent
TXN000157,2021-11-23,CUST04971,PRD0395,Jeddah Central,4,133.26,533.04,3,Good
TXN000158,2020-02-26,CUST04705,PRD0706,Tabuk,10,438.77,4387.7,2,Excellent
TXN000159,2025-08-03,CUST04219,PRD0754,Dammam,2,90.83,181.66,2,Poor
TXN000160,2021-03-02,CUST02423,PRD0303,Khobar,2,495.12,990.24,1,Good
TXN000161,2021-10-18,CUST02920,PRD0086,Dammam,6,441.91,2651.46,2,Excellent
TXN000162,2019-09-15,CUST00483,PRD0329,Madinah,4,24.3,97.2,3,Excellent
TXN000163,2024-01-17,CUST00818,PRD0452,Riyadh North,9,48.54,436.86,5,Poor
TXN000164,2023-01-16,CUST02563,PRD0629,Dammam,9,155.02,1395.18,4,Poor
TXN000165,2023-11-06,CUST02667,PRD0244,Madinah,12,401.11,4813.32,1,Good
TXN000166,2025-09-13,CUST04899,PRD0606,Madinah,2,74.97,149.94,3,Good
TXN000167,2019-08-14,CUST00844,PRD0427,Riyadh North,5,343.8,1719,4,Excellent
TXN000168,2023-04-16,CUST00765,PRD0657,Riyadh North,7,346.56,2425.92,1,Good
TXN000169,2020-10-17,CUST01012,PRD0681,Khobar,5,71.33,356.65,5,Good
TXN000170,2023-09-06,CUST00686,PRD0516,Tabuk,3,80.21,240.63,3,Poor
TXN000171,2020-11-29,CUST04657,PRD0666,Khobar,7,418.65,2930.55,2,Excellent
TXN000172,2024-12-07,CUST04694,PRD0199,Riyadh South,11,139.14,1530.54,1,Excellent
TXN000173,2022-11-15,CUST02882,PRD0583,Tabuk,4,73.88,295.52,2,Good
TXN000174,2025-03-07,CUST01649,PRD0643,Jeddah Central,8,29.33,234.64,2,Excellent
TXN000175,2019-07-10,CUST02190,PRD0661,Abha,11,234.33,2577.63,3,Poor
TXN000176,2020-06-11,CUST01001,PRD0261,Jeddah Central,4,280.47,1121.88,5,Average
TXN000177,2019-12-28,CUST00367,PRD0303,Dammam,6,97.2,583.2,5,Excellent
TXN000178,2020-08-26,CUST03114,PRD0647,Riyadh North,9,202.72,1824.48,3,Excellent
TXN000179,2020-12-11,CUST02938,PRD0187,Madinah,5,11.33,56.65,4,Average
TXN000180,2024-01-22,CUST02795,PRD0409,Riyadh North,12,489.97,5879.64,5,Excellent
TXN000181,2021-11-19,CUST04788,PRD0086,Abha,11,253.82,2792.02,3,Poor
TXN000182,2023-05-26,CUST00769,PRD0705,Khobar,5,106.1,530.5,3,Average
TXN000183,2023-11-03,CUST04032,PRD0138,Abha,4,259.84,1039.36,5,Poor
TXN000184,2023-04-10,CUST01947,PRD0356,Riyadh South,7,350.14,2450.98,2,Poor
TXN000185,2019-08-03,CUST01131,PRD0427,Hail,11,68.35,751.85,1,Excellent
TXN000186,2020-02-05,CUST00075,PRD0745,Madinah,4,280.23,1120.92,4,Average
TXN000187,2024-01-06,CUST01756,PRD0082,Abha,10,309.62,3096.2,1,Good
TXN000188,2022-09-10,CUST04269,PRD0125,Hail,12,366.49,4397.88,3,Good
TXN000189,2025-04-13,CUST02524,PRD0173,Riyadh South,12,286.92,3443.04,5,Excellent
TXN000190,2021-11-29,CUST02963,PRD0471,Makkah,10,366.88,3668.8,3,Poor
TXN000191,2020-06-08,CUST00762,PRD0575,Khobar,4,296.32,1185.28,4,Good
TXN000192,2019-08-19,CUST01033,PRD0578,Khobar,6,365.71,2194.26,4,Excellent
TXN000193,2025-03-29,CUST03310,PRD0262,Abha,9,380.77,3426.93,4,Average
TXN000194,2023-04-06,CUST01367,PRD0706,Dammam,11,78.88,867.68,5,Good
TXN000195,2020-10-12,CUST00014,PRD0539,Riyadh South,3,359.87,1079.61,5,Good
TXN000196,2020-09-23,CUST03579,PRD0252,Abha,6,108.79,652.74,5,Average
TXN000197,2023-10-16,CUST03461,PRD0549,Tabuk,12,152.52,1830.24,4,Poor
TXN000198,2024-08-19,CUST02282,PRD0019,Dammam,10,474.8,4748,5,Good
TXN000199,2024-05-18,CUST02667,PRD0276,Hail,12,143.96,1727.52,4,Average
TXN000200,2020-08-23,CUST01644,PRD0082,Riyadh South,4,181.92,727.68,4,Average
TXN000201,2022-11-12,CUST01300,PRD0701,Abha,12,168.23,2018.76,5,Poor
TXN000202,2022-01-29,CUST02265,PRD0551,Riyadh South,12,231.39,2776.68,1,Average
TXN000203,2024-11-26,CUST01282,PRD0396,Khobar,11,444.22,4886.42,4,Average
TXN000204,2020-05-07,CUST04039,PRD0767,Khobar,11,63.32,696.52,3,Average
TXN000205,2021-07-06,CUST02608,PRD0275,Riyadh South,10,206.1,2061,3,Poor
TXN000206,2022-06-26,CUST04337,PRD0115,Hail,10,204.63,2046.3,4,Good
TXN000207,2019-02-02,CUST02876,PRD0052,Abha,10,477.93,4779.3,2,Excellent
TXN000208,2020-03-27,CUST00704,PRD0406,Dammam,4,419.38,1677.52,5,Poor
TXN000209,2020-09-27,CUST04296,PRD0177,Madinah,5,76.57,382.85,5,Good
TXN000210,2022-06-04,CUST03929,PRD0791,Khobar,11,302.1,3323.1,4,Excellent
TXN000211,2025-05-14,CUST03571,PRD0644,Riyadh North,9,384.31,3458.79,1,Excellent
TXN000212,2022-01-29,CUST02458,PRD0009,Abha,4,102.28,409.12,1,Excellent
TXN000213,2022-09-28,CUST03070,PRD0225,Abha,8,375.14,3001.12,4,Poor
TXN000214,2024-06-13,CUST02233,PRD0107,Khobar,6,166.52,999.12,1,Average
TXN000215,2021-09-30,CUST00336,PRD0600,Hail,3,446.79,1340.37,4,Poor
TXN000216,2021-12-30,CUST01129,PRD0766,Tabuk,7,318.33,2228.31,2,Excellent
TXN000217,2022-09-24,CUST02449,PRD0768,Hail,4,200.57,802.28,5,Excellent
TXN000218,2020-03-14,CUST04348,PRD0614,Dammam,12,80.81,969.72,4,Poor
TXN000219,2020-09-20,CUST01399,PRD0514,Riyadh South,6,370.24,2221.44,3,Average
TXN000220,2021-06-09,CUST04073,PRD0571,Tabuk,4,431.14,1724.56,3,Average
TXN000221,2025-02-26,CUST03165,PRD0143,Jeddah Central,2,457.52,915.04,4,Average
TXN000222,2021-06-10,CUST04195,PRD0622,Madinah,6,201.84,1211.04,3,Poor
TXN000223,2019-01-11,CUST00184,PRD0457,Tabuk,9,306.71,2760.39,3,Excellent
TXN000224,2025-04-23,CUST04974,PRD0714,Abha,10,469.39,4693.9,1,Poor
TXN000225,2024-06-02,CUST04691,PRD0384,Madinah,6,38.92,233.52,3,Excellent
TXN000226,2022-06-10,CUST00822,PRD0619,Khobar,3,172.83,518.49,3,Good
TXN000227,2024-10-30,CUST04239,PRD0778,Dammam,11,381.18,4192.98,5,Poor
TXN000228,2022-01-19,CUST03107,PRD0451,Dammam,8,220.01,1760.08,5,Excellent
TXN000229,2024-05-25,CUST02158,PRD0020,Makkah,6,166.44,998.64,3,Good
TXN000230,2023-11-05,CUST00835,PRD0550,Dammam,8,330.34,2642.72,4,Good
TXN000231,2020-07-30,CUST02177,PRD0744,Hail,1,415.88,415.88,1,Poor
TXN000232,2023-07-17,CUST00923,PRD0711,Dammam,4,152.74,610.96,2,Average
TXN000233,2025-08-28,CUST00418,PRD0475,Riyadh North,8,66.87,534.96,1,Excellent
TXN000234,2022-09-26,CUST01874,PRD0659,Madinah,5,233.86,1169.3,5,Average
TXN000235,2021-09-11,CUST02150,PRD0680,Abha,2,410.23,820.46,4,Good
TXN000236,2020-12-09,CUST04100,PRD0361,Dammam,6,236.81,1420.86,4,Average
TXN000237,2020-03-01,CUST03997,PRD0229,Madinah,6,138.83,832.98,1,Poor
TXN000238,2024-12-27,CUST01754,PRD0337,Hail,11,190.18,2091.98,3,Good
TXN000239,2021-08-31,CUST03055,PRD0149,Dammam,9,186.53,1678.77,5,Excellent
TXN000240,2025-07-12,CUST02470,PRD0353,Tabuk,8,374.68,2997.44,3,Excellent
TXN000241,2023-08-02,CUST04350,PRD0413,Madinah,1,81.92,81.92,1,Good
TXN000242,2023-08-09,CUST02474,PRD0172,Tabuk,4,110.64,442.56,1,Average
TXN000243,2019-03-16,CUST04858,PRD0477,Tabuk,2,129.55,259.1,1,Average
TXN000244,2024-07-11,CUST02012,PRD0686,Madinah,10,247.12,2471.2,1,Average
TXN000245,2022-08-01,CUST04246,PRD0586,Makkah,6,497.37,2984.22,4,Average
TXN000246,2023-03-08,CUST03781,PRD0732,Riyadh North,7,23.35,163.45,2,Poor
TXN000247,2020-02-17,CUST00256,PRD0020,Riyadh North,2,232.76,465.52,1,Poor
TXN000248,2019-05-25,CUST02210,PRD0393,Hail,8,288.53,2308.24,1,Poor
TXN000249,2025-02-02,CUST04334,PRD0443,Dammam,12,300.7,3608.4,3,Excellent
TXN000250,2023-06-18,CUST02992,PRD0721,Hail,3,59.37,178.11,2,Poor
TXN000251,2023-12-29,CUST01622,PRD0412,Khobar,11,128.74,1416.14,4,Good
TXN000252,2023-02-16,CUST04869,PRD0690,Khobar,6,353.1,2118.6,1,Poor
TXN000253,2019-08-25,CUST04411,PRD0466,Makkah,3,70.76,212.28,3,Excellent
TXN000254,2021-05-25,CUST01589,PRD0237,Hail,6,411.04,2466.24,1,Excellent
TXN000255,2022-01-19,CUST02539,PRD0195,Jeddah Central,1,303.78,303.78,4,Average
TXN000256,2025-11-21,CUST01844,PRD0233,Dammam,7,205.57,1438.99,4,Poor
TXN000257,2023-12-14,CUST02196,PRD0788,Abha,2,475.59,951.18,1,Good
TXN000258,2019-02-15,CUST01871,PRD0681,Dammam,1,457.52,457.52,4,Average
TXN000259,2025-04-15,CUST04208,PRD0158,Jeddah Central,7,413.06,2891.42,3,Good
TXN000260,2023-08-28,CUST04844,PRD0243,Madinah,12,238.08,2856.96,1,Good
TXN000261,2024-09-05,CUST04779,PRD0782,Riyadh South,9,198.22,1783.98,1,Good
TXN000262,2020-06-10,CUST01364,PRD0201,Dammam,3,42.4,127.2,2,Poor
TXN000263,2019-12-05,CUST04478,PRD0111,Hail,10,247.17,2471.7,2,Average
TXN000264,2025-12-09,CUST02609,PRD0314,Tabuk,7,488.49,3419.43,3,Average
TXN000265,2023-03-27,CUST03071,PRD0382,Dammam,12,111.31,1335.72,3,Average
TXN000266,2019-11-09,CUST04361,PRD0113,Dammam,9,53.29,479.61,1,Good
TXN000267,2023-04-14,CUST00150,PRD0461,Dammam,4,258.05,1032.2,2,Excellent
TXN000268,2021-04-24,CUST00822,PRD0566,Hail,11,323.52,3558.72,2,Poor
TXN000269,2023-10-23,CUST04400,PRD0526,Madinah,5,391.26,1956.3,4,Excellent
TXN000270,2021-12-01,CUST00229,PRD0392,Riyadh South,11,71.62,787.82,3,Good
TXN000271,2021-03-23,CUST00489,PRD0249,Riyadh South,6,137.15,822.9,1,Good
TXN000272,2023-12-20,CUST03189,PRD0174,Riyadh North,9,107.49,967.41,2,Excellent
TXN000273,2024-09-12,CUST03840,PRD0494,Tabuk,7,460.47,3223.29,1,Excellent
TXN000274,2023-09-24,CUST00889,PRD0678,Abha,11,244.17,2685.87,2,Poor
TXN000275,2023-03-26,CUST00022,PRD0148,Tabuk,12,303.83,3645.96,4,Poor
TXN000276,2019-09-27,CUST00769,PRD0652,Tabuk,7,96.84,677.88,2,Excellent
TXN000277,2022-02-28,CUST03234,PRD0559,Abha,9,423.55,3811.95,1,Average
TXN000278,2020-02-26,CUST01822,PRD0514,Riyadh North,7,407.89,2855.23,2,Good
TXN000279,2023-05-05,CUST03282,PRD0305,Madinah,11,167.61,1843.71,5,Poor
TXN000280,2024-03-28,CUST00683,PRD0306,Khobar,2,296.47,592.94,1,Average
TXN000281,2021-08-02,CUST02050,PRD0624,Hail,11,15.11,166.21,1,Poor
TXN000282,2019-03-05,CUST00938,PRD0235,Hail,5,69.69,348.45,4,Excellent
TXN000283,2020-05-20,CUST03062,PRD0566,Abha,2,370.01,740.02,5,Excellent
TXN000284,2021-02-08,CUST03206,PRD0407,Tabuk,9,75.39,678.51,1,Poor
TXN000285,2022-02-09,CUST02021,PRD0180,Riyadh South,2,480.56,961.12,5,Good
TXN000286,2023-06-19,CUST02793,PRD0747,Jeddah Central,3,391.57,1174.71,4,Excellent
TXN000287,2020-07-29,CUST00206,PRD0179,Abha,2,214.6,429.2,5,Poor
TXN000288,2023-02-11,CUST04944,PRD0283,Makkah,9,10.18,91.62,2,Average
TXN000289,2025-02-11,CUST01574,PRD0237,Hail,9,414.64,3731.76,1,Excellent
TXN000290,2023-07-31,CUST02673,PRD0371,Riyadh South,8,123.46,987.68,4,Average
TXN000291,2022-10-16,CUST02828,PRD0260,Riyadh South,7,289.09,2023.63,1,Good
TXN000292,2019-11-30,CUST00725,PRD0312,Jeddah Central,1,454.14,454.14,5,Good
TXN000293,2021-02-14,CUST04205,PRD0089,Hail,10,168.56,1685.6,4,Excellent
TXN000294,2021-06-22,CUST04037,PRD0348,Tabuk,10,229.63,2296.3,1,Poor
TXN000295,2019-04-20,CUST04099,PRD0197,Tabuk,1,175.97,175.97,1,Average
TXN000296,2019-10-29,CUST03130,PRD0133,Riyadh North,5,455.49,2277.45,3,Excellent
TXN000297,2023-05-26,CUST04549,PRD0260,Hail,9,405.53,3649.77,3,Good
